pr_number,date_opened,date_merged,author,title
30983,2025-10-30,2026-03-12,ms-henglu,`azurerm_kubernetes_cluster` data source  - support for the `outbound_type` and `bootstrap_profile`
30991,2025-10-30,2025-12-15,HappyTobi,New Resource: `azurerm_automation_runtime_environment`
30970,2025-10-29,2025-12-30,ms-henglu,`azurerm_kubernetes_cluster` - fix tests
30972,2025-10-29,2025-10-29,jiaweitao001,`dashboard`: Bump API version to `2025-08-01`
30980,2025-10-29,2026-02-11,jhern61,New Resource: `azurerm_managed_redis_access_policy_assignment` and data source
30962,2025-10-28,2025-10-29,WodansSon,[Dependencies:] `cdn/2025-04-15/afdcustomdomains` for `TLS Policy`
30958,2025-10-28,2026-01-06,ms-henglu,`azurerm_kubernetes_cluster` - `network_data_plane` and `network_policy` support update to `cilium`
30959,2025-10-28,2026-03-19,ms-henglu,`azurerm_kubernetes_cluster`: Support for upgrade path from Kubenet/Azure CNI to Azure CNI Overlay
30964,2025-10-28,2025-11-17,gerrytan,azurerm_managed_redis: database persistence
30966,2025-10-28,2025-12-04,mihretkidane-OCI,oracle_autonomous_database support to reset password
30945,2025-10-26,2025-11-19,ezhong-msft,`azurerm_virtual_network` - Remove read-only properties from subnet payloads to avoid ARM API limit errors
30944,2025-10-25,2025-11-12,WodansSon,[Chore:] Fix `.gitignore` file to ignore the `.github\instructions` directory until the copilot AI infrastructure is merged
30931,2025-10-23,2025-10-23,ziyeqf,`azurerm_site_recovery_replicated_vm` - update document for `target_replica_disk_type`
30924,2025-10-22,2025-10-22,teowa,`azurerm_mssql_database` - allow existing zero or null value for `auto_pause_delay_in_minutes` and `min_capacity` of non-serverless database
30925,2025-10-22,2026-03-13,ziyeqf,`azurerm_log_analytics_workspace_table` - update validation for `basic` plan
30916,2025-10-21,2025-11-24,teowa,New Resource: `azurerm_cognitive_account_project`
30917,2025-10-21,2025-11-25,hqhqhqhqhqhqhqhqhqhqhq,`azurerm_kubernetes_cluster` - Always set `azure_policy` addon profile regardless of HasChange
30907,2025-10-20,2025-11-18,xiaxyi,`azurerm_service_plan` -  fix `sku_name` case difference issue
30889,2025-10-17,2025-11-19,ms-zhenhua,`azurerm_orchestrated_virtual_machine_scale_set` - Fix deployment issue with specialized image
30890,2025-10-17,2025-11-12,QixiaLu,automation - upgrade to 2024-10-23
30856,2025-10-15,2025-10-15,teowa,`azurerm_mssql_database` - fix serverless check
30860,2025-10-15,2026-02-09,magodo,`azurerm_federated_identity_credential` - Deprecate the `resource_group_name`
30858,2025-10-15,2025-10-15,magodo,`azurerm_container_registry` - Fix length limit of `name` from 49 to 50
30842,2025-10-14,2025-10-15,teowa,`azurerm_search_service` - allows upgrading the `sku` based on tier
30836,2025-10-13,2025-10-15,magodo,`azurerm_storage_queue` - Support migrating from `storage_account_name` to `storage_account_id`
30838,2025-10-13,null,jiaweitao001,`azurerm_container_app`: Add support for new attribute `kind`
30841,2025-10-13,null,evgenwk,Oracle Network Anchor
30823,2025-10-10,2025-10-29,mihretkidane-OCI,oracle resource anchor 
30796,2025-10-07,2025-10-22,evgenwk,oracle - update to API version 2025-09-01 
30778,2025-10-03,2025-12-08,promisinganuj,`azurerm_cognitive_account`  data resource update - including new attributes
30758,2025-10-02,2025-10-15,teowa,`azurerm_application_insights` - resolve the issue where `tags` are unintentionally deleted in resource update
30759,2025-10-02,2025-10-10,ziyeqf,`azurerm_log_analytics_workspace` - fix default value for `local_authentication_enabled`
30760,2025-10-02,2025-10-15,ziyeqf,doc: update guidance for renaming property
